date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Jun 06 2019 09:20:30 GMT-0700 (Pacific Daylight Time),Senior Solutions Engineer,"Saint Petersburg, FL",Current Employee,Neutral,Recommends,,Large Corporation,5,,,,,3.0,3.0,4.0,2.0,4.0,2.0
Thu Jun 06 2019 14:57:26 GMT-0700 (Pacific Daylight Time),IT Director,"Schenectady, NY",Former Employee,Neutral,Recommends,,Missing the leadership mark.,8,,,,,3.0,3.0,3.0,3.0,4.0,2.0
Tue Jun 04 2019 18:09:09 GMT-0700 (Pacific Daylight Time),Lead Engineer,,Current Employee,Neutral,Recommends,,Not bad or good,1,,,,,3.0,3.0,2.0,2.0,2.0,2.0
Fri May 17 2019 15:16:25 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Neutral,Recommends,,Great place to work,5,,,,,4.0,4.0,4.0,4.0,4.0,3.0
Wed May 15 2019 14:51:21 GMT-0700 (Pacific Daylight Time),Site Manager,,Current Employee,Neutral,Recommends,,Wind Site Manager for GE,8,,,,,5.0,3.0,4.0,5.0,4.0,
Wed May 29 2019 11:09:51 GMT-0700 (Pacific Daylight Time),Product Manager,"San Ramon, CA",Former Employee,Neutral,Recommends,,"Great Values, Mixed Execution",1,,,,,2.0,,,,,
Tue May 14 2019 13:34:30 GMT-0700 (Pacific Daylight Time),Lead Engineer/Technologist,,Current Employee,Neutral,Recommends,,Decent place to work at,,,,,,4.0,5.0,3.0,3.0,2.0,4.0
Sat May 11 2019 10:16:47 GMT-0700 (Pacific Daylight Time),Director,,Former Employee,Neutral,Recommends,,Fantastic Culture and Growth Opportunities,3,,,,,5.0,5.0,5.0,5.0,4.0,5.0
Wed May 22 2019 21:24:32 GMT-0700 (Pacific Daylight Time),Site Supervisor,"Denver, CO",Former Employee,Neutral,Recommends,,Rules of Incompetence,1,1,,,,2.0,1.0,2.0,3.0,2.0,1.0
Wed May 08 2019 18:20:41 GMT-0700 (Pacific Daylight Time),Software Developer,,Current Employee,Neutral,Recommends,,GE company review,,,,,,4.0,,,,,
Sun May 19 2019 16:34:43 GMT-0700 (Pacific Daylight Time),Programmer,,Former Employee,Neutral,Recommends,,Great place to work,1,,,,,3.0,3.0,3.0,3.0,3.0,3.0
Fri May 03 2019 08:43:36 GMT-0700 (Pacific Daylight Time),Software Developer,"Romulus, MI",Current Employee,Neutral,Recommends,,Overall a great company to work for,1,,,,,4.0,4.0,5.0,5.0,3.0,4.0
Thu Jun 06 2019 15:06:59 GMT-0700 (Pacific Daylight Time),Senior Software Engineer,"New Orleans, LA",Former Employee,Neutral,Recommends,,Couldn't care less about their employees,3,1,,,,1.0,2.0,1.0,1.0,2.0,1.0
Thu May 02 2019 21:06:34 GMT-0700 (Pacific Daylight Time),IT Support,"Virginia Beach, VA",Current Employee,Neutral,Recommends,,Good company overall,3,,,,,4.0,4.0,3.0,4.0,4.0,3.0
Wed May 01 2019 13:41:09 GMT-0700 (Pacific Daylight Time),Sourcing Manager,,Current Employee,Neutral,Recommends,,"Great people, great product",3,,,,,4.0,3.0,5.0,4.0,3.0,4.0
Tue May 14 2019 19:15:44 GMT-0700 (Pacific Daylight Time),Project Manager,,Former Employee,Neutral,Recommends,,Great Place to work,,,,,,3.0,,,,,
Mon Apr 29 2019 10:56:22 GMT-0700 (Pacific Daylight Time),Regional Account Manager,"Denver, CO",Former Employee,Neutral,Recommends,,Great company in a lull right now.,,,,,,4.0,4.0,3.0,5.0,3.0,2.0
Fri Apr 26 2019 18:19:58 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Neutral,Recommends,,Great work,,,,,,4.0,,,,,
